Year,Table,Columns
2014,Age-group & Gender-wise Victims of Murder During 2014,All
2015,Age-group & Gender-wise Victims of Murder During 2015,All
2016,Victims (Gender & Age Group-wise) - 2016,All
2017,Victims of Murder (Gender & Age Group-wise) -2017,All
2018,Victims of Murder (Gender & Age Group-wise) - 2018,All
2019,Victims of Murder (Gender & Age Group-wise) - 2019,All
2020,Victims of Murder (Gender & Age Group-wise) - 2020,All
2021,Victims of Murder (Gender & Age Group-wise) - 2021,All
2022,Victims of Murder (Gender & Age Group-wise) - 2022,All
2023,Victims of Murder (Gender & Age Group-wise) -2023,All
